"Table 1.2a: Annual hours when PM10 pollution was moderate or higher, for roadside sites, 1997 to 2018",,,,,,,,,
,,,,,,,,,
Year,Site,4 Moderate,5 Moderate,6 Moderate,7 High,8 High,9 High,10 Very High,Total Hours
2016,Leeds Headingley Kerbside,51,29,34,12,0,0,0,126
2017,Leeds Headingley Kerbside,83,39,41,0,0,0,0,163
2018,Leeds Headingley Kerbside,14,18,5,3,18,0,0,58
2016,Leicester A594 Roadside,74,54,43,8,0,0,0,179
2017,Leicester A594 Roadside,41,60,14,0,0,0,0,115
2018,Leicester A594 Roadside,69,14,6,0,0,0,0,89
1998,London A3 Roadside,383,240,103,34,21,16,29,826
1999,London A3 Roadside,277,134,18,6,0,0,0,435
2000,London A3 Roadside,256,78,11,0,0,0,0,345
2001,London A3 Roadside,123,111,30,13,20,30,29,356
2002,London A3 Roadside,51,0,0,0,0,0,0,51
2003,London A3 Roadside,513,217,225,110,9,0,0,"1,074"
2004,London A3 Roadside,284,86,20,18,15,0,0,423
2005,London A3 Roadside,278,128,56,37,0,0,0,499
2006,London A3 Roadside,353,187,79,27,30,9,0,685
1998,London Marylebone Road,"1,123",457,185,107,28,19,0,"1,919"
1999,London Marylebone Road,"1,287",603,332,95,61,34,222,"2,634"
2000,London Marylebone Road,"1,684","1,291",414,159,136,42,61,"3,787"
2001,London Marylebone Road,"1,322",556,216,153,82,56,89,"2,474"
2002,London Marylebone Road,"1,504",672,305,84,70,23,8,"2,666"
2003,London Marylebone Road,"1,662",983,528,342,235,86,3,"3,839"
2004,London Marylebone Road,"1,442",609,275,75,34,10,0,"2,445"
2005,London Marylebone Road,"1,412",827,377,108,46,3,18,"2,791"
2006,London Marylebone Road,"1,740","1,060",479,105,83,37,27,"3,531"
2007,London Marylebone Road,"1,413",837,235,150,66,45,29,"2,775"
2008,London Marylebone Road,813,295,134,23,33,18,20,"1,336"
2009,London Marylebone Road,471,272,31,13,16,9,0,812
2010,London Marylebone Road,349,120,66,12,0,0,0,547
2011,London Marylebone Road,624,270,217,114,52,37,3,"1,317"
2012,London Marylebone Road,245,137,93,45,29,1,0,550
2013,London Marylebone Road,211,172,78,29,0,0,0,490
2014,London Marylebone Road,177,85,45,31,26,0,0,364
2015,London Marylebone Road,132,74,35,8,0,0,0,249
2016,London Marylebone Road,129,97,53,40,29,0,0,348
2017,London Marylebone Road,104,46,35,4,4,5,2,200
2018,London Marylebone Road,96,14,16,7,0,0,0,133
2018,Newcastle Cradlewell Roadside,43,12,0,0,0,0,0,55
2016,Nottingham Western Boulevard,77,14,20,4,0,0,0,115
2017,Nottingham Western Boulevard,65,81,4,3,7,6,0,166
2018,Nottingham Western Boulevard,20,25,7,0,0,0,0,52
2018,Portsmouth Anglesea Road,24,6,0,0,0,0,0,30
2017,Reading London Road,37,14,11,0,0,0,0,62
2018,Reading London Road,11,0,0,0,0,0,0,11
2014,Saltash Callington Road,6,6,30,12,0,0,0,54
2015,Saltash Callington Road,23,25,12,0,0,0,0,60
2016,Saltash Callington Road,0,0,0,0,0,0,0,0
2018,Saltash Callington Road,4,0,0,0,0,0,0,4
2009,Saltash Roadside,23,0,0,0,0,0,0,23
2009,Sandy Roadside,85,57,12,4,0,0,0,158
